Name,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Filename,Variant ID,Internal ID,Unique Entry ID,Purchasable,Achieved,Timestamp
air circulator,Green,,,,False,False,False,,1100,275,Green,Gray,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,None,None,True,Fan,True,Does not play music,No lighting,FtrCirculator_Remake_3_0,3_0,3821,bGCQ9bA27ftHoLoKb,True,False,2020-08-13
air circulator,Yellow,,,,False,False,False,,1100,275,Yellow,Gray,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,None,None,True,Fan,True,Does not play music,No lighting,FtrCirculator_Remake_4_0,4_0,3821,5pBqNZaZWveKR6K5s,True,False,2020-08-13
alto saxophone,,,,,False,False,False,,3400,850,Yellow,Yellow,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the unique furniture slot,1.0.0,music,None,None,None,True,Musical Instrument,False,Does not play music,No lighting,FtrAltosax,,846,yAj7DyFRDjWbh7qYP,True,False,2020-08-13
anatomical model,,,,,False,False,False,,3500,875,Colorful,Beige,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,expensive,None,None,False,Hospital,False,Does not play music,No lighting,FtrAnatomicalmodel,,1317,t2LzAKDofAZYyqZ6r,True,False,2020-08-13
anchor statue,Black,Color,,,False,True,False,2,,1400,Black,Beige,1x1,,Fishing Tourney,,1.0.0,ocean,None,None,None,False,Seaside,True,Does not play music,No lighting,FtrShipanchor_Remake_0_0,0_0,7238,zgw6WaZRQgrpQ5FTC,False,False,2020-08-13
anchor statue,Silver,Color,,,False,True,False,2,,1400,Gray,Beige,1x1,,Fishing Tourney,,1.0.0,ocean,None,None,None,False,Seaside,True,Does not play music,No lighting,FtrShipanchor_Remake_1_0,1_0,7238,hdZokWHmfoFTt2FjM,False,False,2020-08-13
anchor statue,Gold,Color,,,False,True,False,2,,1400,Brown,Beige,1x1,,Fishing Tourney,,1.0.0,ocean,None,None,None,False,Seaside,True,Does not play music,No lighting,FtrShipanchor_Remake_2_0,2_0,7238,NNfoBT2rgDcmG5HhD,False,False,2020-08-13
anchor statue,White,Color,,,False,True,False,2,,1400,White,Beige,1x1,,Fishing Tourney,,1.0.0,ocean,None,None,None,False,Seaside,True,Does not play music,No lighting,FtrShipanchor_Remake_3_0,3_0,7238,ZWyY2rRANgXoGcDha,False,False,2020-08-13
anchor statue,Blue,Color,,,False,True,False,2,,1400,Blue,White,1x1,,Fishing Tourney,,1.0.0,ocean,None,None,None,False,Seaside,True,Does not play music,No lighting,FtrShipanchor_Remake_4_0,4_0,7238,vRhn2x3vj2mii4AKH,False,False,2020-08-13
anchor statue,Retro,Color,,,False,True,False,2,,1400,Brown,Gray,1x1,,Fishing Tourney,,1.0.0,ocean,None,None,None,False,Seaside,True,Does not play music,No lighting,FtrShipanchor_Remake_5_0,5_0,7238,6wyLNus8QqXkbBu72,False,False,2020-08-13
angled signpost,Home,Navigation,,,True,True,False,1,,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,None,None,None,False,Vehicle,True,Does not play music,No lighting,FtrSignpostTilt_Remake_0_0,0_0,7867,kzirasu23o7Xwz8Cg,False,False,2020-08-13
angled signpost,Forest,Navigation,,,True,True,False,1,,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,None,None,None,False,Vehicle,True,Does not play music,No lighting,FtrSignpostTilt_Remake_1_0,1_0,7867,8MxLKTxpMDwarBE2M,False,False,2020-08-13
angled signpost,Fishing Spot,Navigation,,,True,True,False,1,,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,None,None,None,False,Vehicle,True,Does not play music,No lighting,FtrSignpostTilt_Remake_2_0,2_0,7867,uvn5kiMi84NMuesmb,False,False,2020-08-13
angled signpost,Resident Services,Navigation,,,True,True,False,1,,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,None,None,None,False,Vehicle,True,Does not play music,No lighting,FtrSignpostTilt_Remake_3_0,3_0,7867,D2bHBoj8ZotiBiahp,False,False,2020-08-13
angled signpost,Airport,Navigation,,,True,True,False,1,,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,None,None,None,False,Vehicle,True,Does not play music,No lighting,FtrSignpostTilt_Remake_4_0,4_0,7867,BGaTv6ghfWHQohYJz,False,False,2020-08-13
angled signpost,Shop,Navigation,,,True,True,False,1,,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,None,None,None,False,Vehicle,True,Does not play music,No lighting,FtrSignpostTilt_Remake_5_0,5_0,7867,QNTrffSxKbCJH3C2s,False,False,2020-08-13
angled signpost,Tailors,Navigation,,,True,True,False,1,,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,None,None,None,False,Vehicle,True,Does not play music,No lighting,FtrSignpostTilt_Remake_6_0,6_0,7867,TW9n423omNZDjZ9hp,False,False,2020-08-13
angled signpost,Museum,Navigation,,,True,True,False,1,,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,None,None,None,False,Vehicle,True,Does not play music,No lighting,FtrSignpostTilt_Remake_7_0,7_0,7867,wPX6wELbCn9Jyb37A,False,False,2020-08-13
antique bed,Brown,,,,False,False,False,,28000,7000,Brown,White,2x2,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Bed,False,Does not play music,No lighting,FtrAntiqueBedW_Remake_0_0,0_0,3957,c7rQKnQBvtMCpGNhr,True,False,2020-08-13
antique bed,Natural,,,,False,False,False,,28000,7000,Beige,White,2x2,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Bed,False,Does not play music,No lighting,FtrAntiqueBedW_Remake_1_0,1_0,3957,gMCFieFjJLX4yXBPJ,True,False,2020-08-13
antique bed,Black,,,,False,False,False,,28000,7000,Black,White,2x2,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Bed,False,Does not play music,No lighting,FtrAntiqueBedW_Remake_2_0,2_0,3957,s5ZQQKh3XYcue8R6S,True,False,2020-08-13
antique bureau,Brown,,,,False,False,False,,20000,5000,Brown,Brown,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Desk,False,Does not play music,No lighting,FtrAntiqueBureau_Remake_0_0,0_0,3956,eqP7Ro4PzjhZFGMaX,True,False,2020-08-13
antique bureau,Natural,,,,False,False,False,,20000,5000,Beige,Beige,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Desk,False,Does not play music,No lighting,FtrAntiqueBureau_Remake_1_0,1_0,3956,PwbzwqaKiZ7CPKgh6,True,False,2020-08-13
antique bureau,Black,,,,False,False,False,,20000,5000,Black,Black,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Desk,False,Does not play music,No lighting,FtrAntiqueBureau_Remake_2_0,2_0,3956,nTM9BgbxMArEAuPda,True,False,2020-08-13
antique chair,Brown,,,,False,False,False,,10000,2500,Brown,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Chair,False,Does not play music,No lighting,FtrAntiqueChairS_Remake_0_0,0_0,3950,gzBvzGmkCqvaa4dfg,True,False,2020-08-13
antique chair,Natural,,,,False,False,False,,10000,2500,Beige,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Chair,False,Does not play music,No lighting,FtrAntiqueChairS_Remake_1_0,1_0,3950,d4oC34hgWHdZAv8dT,True,False,2020-08-13
antique chair,Black,,,,False,False,False,,10000,2500,Black,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Chair,False,Does not play music,No lighting,FtrAntiqueChairS_Remake_2_0,2_0,3950,eCZttstT4S3Tr4ZSj,True,False,2020-08-13
antique clock,Brown,,,,False,False,False,,44000,11000,Brown,Yellow,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Clock,False,Does not play music,No lighting,FtrAntiqueClock_Remake_0_0,0_0,3954,54WzSWz3bv4j4279w,True,False,2020-08-13
antique clock,Natural,,,,False,False,False,,44000,11000,Beige,Yellow,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Clock,False,Does not play music,No lighting,FtrAntiqueClock_Remake_1_0,1_0,3954,aPDaateHnZ2K7rnCX,True,False,2020-08-13
antique clock,Black,,,,False,False,False,,44000,11000,Black,Yellow,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Clock,False,Does not play music,No lighting,FtrAntiqueClock_Remake_2_0,2_0,3954,prDor5kTcy7ahzz5c,True,False,2020-08-13
antique console table,Brown,,,,False,False,False,,17000,4250,Brown,Brown,2x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,False,Table,False,Does not play music,No lighting,FtrAntiqueConsole_Remake_0_0,0_0,3951,kKSfnnXLBk2BMbWEo,True,False,2020-08-13
antique console table,Natural,,,,False,False,False,,17000,4250,Beige,Beige,2x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,False,Table,False,Does not play music,No lighting,FtrAntiqueConsole_Remake_1_0,1_0,3951,SBphLepffHinkmtPf,True,False,2020-08-13
antique console table,Black,,,,False,False,False,,17000,4250,Black,Black,2x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,False,Table,False,Does not play music,No lighting,FtrAntiqueConsole_Remake_2_0,2_0,3951,7i4eJMFhi2gzqMEZ8,True,False,2020-08-13
antique mini table,Brown,,,,False,False,False,,6700,1675,Brown,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,False,Table,False,Does not play music,No lighting,FtrAntiqueTableS_Remake_0_0,0_0,3958,WZyBrwSZD4wZtqcBJ,True,False,2020-08-13
antique mini table,Natural,,,,False,False,False,,6700,1675,Beige,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,False,Table,False,Does not play music,No lighting,FtrAntiqueTableS_Remake_1_0,1_0,3958,epWuBMh226r3nu7xh,True,False,2020-08-13
antique mini table,Black,,,,False,False,False,,6700,1675,Black,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,False,Table,False,Does not play music,No lighting,FtrAntiqueTableS_Remake_2_0,2_0,3958,2n955ZXXD3RXt9gjE,True,False,2020-08-13
antique table,Brown,,,,False,False,False,,25000,6250,Brown,Brown,2x2,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,False,Table,False,Does not play music,No lighting,FtrAntiqueTableL_Remake_0_0,0_0,3952,F4jrEYe9x7W4E2wYE,True,False,2020-08-13
antique table,Natural,,,,False,False,False,,25000,6250,Beige,Beige,2x2,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,False,Table,False,Does not play music,No lighting,FtrAntiqueTableL_Remake_1_0,1_0,3952,ptPHtvKpF2JCkS9Zw,True,False,2020-08-13
antique table,Black,,,,False,False,False,,25000,6250,Black,Black,2x2,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,False,Table,False,Does not play music,No lighting,FtrAntiqueTableL_Remake_2_0,2_0,3952,x2K5wv9K8qGXcmukB,True,False,2020-08-13
antique vanity,Brown,,,,False,False,False,,31000,7750,Brown,Light blue,2x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Dresser,False,Does not play music,No lighting,FtrAntiqueDresser_Remake_0_0,0_0,3955,qLtWDehmX53gwgha7,True,False,2020-08-13
antique vanity,Natural,,,,False,False,False,,31000,7750,Beige,Light blue,2x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Dresser,False,Does not play music,No lighting,FtrAntiqueDresser_Remake_1_0,1_0,3955,2bRbENZWkM9BeuiwZ,True,False,2020-08-13
antique vanity,Black,,,,False,False,False,,31000,7750,Black,Light blue,2x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Dresser,False,Does not play music,No lighting,FtrAntiqueDresser_Remake_2_0,2_0,3955,b5MR8PraRhrJzsqYi,True,False,2020-08-13
antique wardrobe,Brown,,,,False,False,False,,37000,9250,Brown,Brown,2x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,Wardrobe,Chest,False,Does not play music,No lighting,FtrAntiqueChest_Remake_0_0,0_0,3959,XAnaYsJ8wouWyBBsu,True,False,2020-08-13
antique wardrobe,Natural,,,,False,False,False,,37000,9250,Beige,Beige,2x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,Wardrobe,Chest,False,Does not play music,No lighting,FtrAntiqueChest_Remake_1_0,1_0,3959,yBtLh6CtFrGD4qTTF,True,False,2020-08-13
antique wardrobe,Black,,,,False,False,False,,37000,9250,Black,Black,2x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,Wardrobe,Chest,False,Does not play music,No lighting,FtrAntiqueChest_Remake_2_0,2_0,3959,Tjvexu4etCrRoAAw4,True,False,2020-08-13
apple chair,Red apple,Fruit type,,,True,True,False,4,,2480,Red,Yellow,1x1,,Crafting,,1.0.0,fancy,None,fruits,apple,True,Chair,False,Does not play music,No lighting,FtrFruitsChairApple_Remake_0_0,0_0,4134,qonCdPiLCmFNtYMsG,False,False,2020-08-13
apple chair,Green apple,Fruit type,,,True,True,False,4,,2480,Green,Yellow,1x1,,Crafting,,1.0.0,fancy,None,fruits,apple,True,Chair,False,Does not play music,No lighting,FtrFruitsChairApple_Remake_1_0,1_0,4134,rjPaqoEyZ2FHDjbkn,False,False,2020-08-13
Aquarius urn,,,,,True,False,False,,,22125,White,Yellow,1x1,,Crafting,,1.0.0,expensive,bathroom,stars,None,False,Bathroom Things,False,Does not play music,No lighting,FtrZodiacAquarius,,5956,dYz86HHwPAWYn5c3Z,False,False,2020-08-13
arcade combat game,,,,,False,False,False,,64000,16000,White,Blue,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,facility,shop,None,None,True,Toy,False,Does not play music,Monitor,FtrArcadegameShooting,,8226,f7tatK2cmYwskb5LS,True,False,2020-08-13
arcade fighting game,,,,,False,False,False,,64000,16000,White,Red,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,facility,shop,None,None,True,Toy,False,Does not play music,Monitor,FtrArcadegameFight,,8225,3CKqHScHJuqbW7e4u,True,False,2020-08-13
arcade mahjong game,,,,,False,False,False,,64000,16000,White,Green,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,facility,shop,None,None,True,Toy,False,Does not play music,Monitor,FtrArcadegameMahjong,,8227,vNB5LbWmPm2uQhdjo,True,False,2020-08-13
arcade seat,Red,,,,False,False,False,,1300,325,Red,Gray,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the unique furniture slot,1.0.0,facility,shop,None,None,True,Chair,False,Does not play music,No lighting,FtrGameChair_Remake_0_0,0_0,12207,BHxt8Xrz3RxHAq45c,True,False,2020-08-13
arcade seat,Gray,,,,False,False,False,,1300,325,Gray,Gray,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the unique furniture slot,1.0.0,facility,shop,None,None,True,Chair,False,Does not play music,No lighting,FtrGameChair_Remake_1_0,1_0,12207,qvAcGrMSRKdMPWZAF,True,False,2020-08-13
arcade seat,Blue,,,,False,False,False,,1300,325,Blue,Gray,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the unique furniture slot,1.0.0,facility,shop,None,None,True,Chair,False,Does not play music,No lighting,FtrGameChair_Remake_2_0,2_0,12207,DZ3hFRhqZ5W62XQ4C,True,False,2020-08-13
Aries rocking chair,,,,,True,False,False,,,12125,White,Yellow,1x1,,Crafting,,1.0.0,expensive,fancy,stars,None,True,Toy,False,Does not play music,No lighting,FtrZodiacAries,,5954,MLxrGfmKBYNQoqYYu,False,False,2020-08-13
artisanal bug cage,,,,,False,False,False,,,450,Brown,Brown,2x1,,Bug-Off,,1.0.0,garden,facility,None,None,Wardrobe,Ranch,True,Does not play music,No lighting,FtrEventobjInsectBox,,7839,GsEBBC4JpEgwjgv6e,False,False,2020-08-13
asteroid,,,,,True,False,False,,,4000,Black,Black,1x1,,Crafting,,1.0.0,space,facility,None,None,True,Space,True,Does not play music,No lighting,FtrMeteo,,1439,oAQNzhuKcCvh4E9a4,False,False,2020-08-13
astronaut suit,,,,,True,False,False,,,6250,White,Black,1x1,,Crafting,,1.0.0,space,None,None,None,False,Space,True,Does not play music,No lighting,FtrSpacesuit,,1445,mBhzWedMXNB5HSrKa,False,False,2020-08-13
automatic washer,White,,,,False,False,False,,4500,1125,White,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the unique furniture slot,1.0.0,bathroom,None,None,None,True,Home Appliances,False,Does not play music,No lighting,FtrWashingmachine_Remake_0_0,0_0,2740,4YqpCyGk4ndhAWjS8,True,False,2020-08-13
automatic washer,Pink,,,,False,False,False,,4500,1125,Red,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the unique furniture slot,1.0.0,bathroom,None,None,None,True,Home Appliances,False,Does not play music,No lighting,FtrWashingmachine_Remake_1_0,1_0,2740,wdpzZgQz8aJvnkY33,True,False,2020-08-13
automatic washer,Blue,,,,False,False,False,,4500,1125,Blue,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the unique furniture slot,1.0.0,bathroom,None,None,None,True,Home Appliances,False,Does not play music,No lighting,FtrWashingmachine_Remake_2_0,2_0,2740,vCcK4sAa2HDC2cLQG,True,False,2020-08-13
automatic washer,Green,,,,False,False,False,,4500,1125,Green,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the unique furniture slot,1.0.0,bathroom,None,None,None,True,Home Appliances,False,Does not play music,No lighting,FtrWashingmachine_Remake_3_0,3_0,2740,xwWJ4q9SvKAkwKAf9,True,False,2020-08-13
automatic washer,Yellow,,,,False,False,False,,4500,1125,Yellow,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the unique furniture slot,1.0.0,bathroom,None,None,None,True,Home Appliances,False,Does not play music,No lighting,FtrWashingmachine_Remake_4_0,4_0,2740,uKASWdnn2i8tv3W9G,True,False,2020-08-13
automatic washer,Black,,,,False,False,False,,4500,1125,Black,Black,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the unique furniture slot,1.0.0,bathroom,None,None,None,True,Home Appliances,False,Does not play music,No lighting,FtrWashingmachine_Remake_5_0,5_0,2740,z8zJrXKQxbrLnXXLv,True,False,2020-08-13
baby chair,Red,,Bear,Cushion,False,False,True,1,1200,300,Red,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,True,Chair,False,Does not play music,No lighting,FtrBabychair_Remake_0_0,0_0,3305,uzH4uc5wXZiAeRrDx,True,False,2020-08-13
baby chair,Red,,Strawberry,Cushion,False,False,True,1,1200,300,Red,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,True,Chair,False,Does not play music,No lighting,FtrBabychair_Remake_0_1,0_1,3305,Mzjo4jFrqZdhCPTR3,True,False,2020-08-13
baby chair,Red,,Butterfly,Cushion,False,False,True,1,1200,300,Red,Orange,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,True,Chair,False,Does not play music,No lighting,FtrBabychair_Remake_0_2,0_2,3305,SNPkuumtp6rc7Df7k,True,False,2020-08-13
baby chair,Red,,Train,Cushion,False,False,True,1,1200,300,Red,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,True,Chair,False,Does not play music,No lighting,FtrBabychair_Remake_0_3,0_3,3305,9g8Jq3bPaDbew3GZg,True,False,2020-08-13
baby chair,Red,,Paw print,Cushion,False,False,True,1,1200,300,Red,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,True,Chair,False,Does not play music,No lighting,FtrBabychair_Remake_0_4,0_4,3305,imMXebxofRWTiDB2y,True,False,2020-08-13
baby chair,Pink,,Bear,Cushion,False,False,True,1,1200,300,Pink,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,True,Chair,False,Does not play music,No lighting,FtrBabychair_Remake_1_0,1_0,3305,QRHpTEn6WNZZxv8bd,True,False,2020-08-13
baby chair,Pink,,Strawberry,Cushion,False,False,True,1,1200,300,Pink,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,True,Chair,False,Does not play music,No lighting,FtrBabychair_Remake_1_1,1_1,3305,kiYP9J9thzGkP2ZXQ,True,False,2020-08-13
baby chair,Pink,,Butterfly,Cushion,False,False,True,1,1200,300,Pink,Orange,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,True,Chair,False,Does not play music,No lighting,FtrBabychair_Remake_1_2,1_2,3305,5x8pLSL8XjbZnCBQQ,True,False,2020-08-13
baby chair,Pink,,Train,Cushion,False,False,True,1,1200,300,Pink,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,True,Chair,False,Does not play music,No lighting,FtrBabychair_Remake_1_3,1_3,3305,6tfwMtaYLE5KtAQKS,True,False,2020-08-13
baby chair,Pink,,Paw print,Cushion,False,False,True,1,1200,300,Pink,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,True,Chair,False,Does not play music,No lighting,FtrBabychair_Remake_1_4,1_4,3305,ihucEvtrsesPCYZB2,True,False,2020-08-13
baby chair,Yellow,,Bear,Cushion,False,False,True,1,1200,300,Yellow,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,True,Chair,False,Does not play music,No lighting,FtrBabychair_Remake_2_0,2_0,3305,SrYrGG6KFSsL2t44t,True,False,2020-08-13
baby chair,Yellow,,Strawberry,Cushion,False,False,True,1,1200,300,Yellow,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,True,Chair,False,Does not play music,No lighting,FtrBabychair_Remake_2_1,2_1,3305,BpCJtM8aCQG4npCgi,True,False,2020-08-13
baby chair,Yellow,,Butterfly,Cushion,False,False,True,1,1200,300,Yellow,Orange,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,True,Chair,False,Does not play music,No lighting,FtrBabychair_Remake_2_2,2_2,3305,2viSrxqmyLaJvzTCN,True,False,2020-08-13
